,Open Bid_x,Open Bid_y,Long Swap USDPLN,Short Swap USDPLN,open_1
2005-01-03,2.16,1.52,-3.9556962025316456e-05,3.4827123195703256e-05,6.1175
2005-01-04,2.27,1.6,-3.678219503907577e-05,3.358208955223881e-05,6.1075
2005-01-05,2.25,1.71,-0.0001102564102564,0.0001035353535353,6.2406
2005-01-06,2.23,1.64,-3.715170278637771e-05,3.3950617283950624e-05,6.2318
2005-01-07,2.23,1.63,-3.715170278637771e-05,3.3950617283950624e-05,6.2615
2005-01-08,2.26,1.74,-3.740627130197684e-05,3.418163672654691e-05,6.2615
2005-01-09,2.26,1.69,-3.740627130197684e-05,3.418163672654691e-05,6.2615
2005-01-10,2.23,1.64,-3.792569659442724e-05,3.4848484848484856e-05,6.2714
2005-01-11,2.26,1.69,-3.740627130197684e-05,3.478478478478479e-05,6.2603
2005-01-12,2.27,1.67,-0.0001103465851172,0.0001047979797979,6.2486
2005-01-13,2.27,1.61,-3.678219503907577e-05,3.399668325041459e-05,6.1797
2005-01-14,2.24,1.61,-3.763717421124829e-05,3.478478478478479e-05,6.2366
2005-01-15,2.25,1.65,-3.632478632478632e-05,3.114478114478114e-05,6.2366
2005-01-16,2.25,1.65,-3.632478632478632e-05,3.1323877068557915e-05,6.2366
2005-01-17,2.25,1.61,-3.709401709401709e-05,3.368263473053892e-05,6.2449
2005-01-18,2.25,1.67,-3.6752136752136745e-05,3.3718206157965195e-05,6.2851
2005-01-19,2.27,1.6,-0.0001103465851172,0.0001007462686567,6.2643
2005-01-20,2.26,1.6,-3.655419222903886e-05,3.37658017298736e-05,6.2815
2005-01-21,2.27,1.58,-3.678219503907577e-05,3.432359852299429e-05,6.3258
2005-01-22,2.27,1.65,-3.6357458375807e-05,3.3718206157965195e-05,6.3258
2005-01-23,2.27,1.65,-3.6357458375807e-05,3.3718206157965195e-05,6.3258
2005-01-24,2.3,1.58,-3.5774410774410783e-05,3.2626561472715315e-05,6.2873
2005-01-25,2.3,1.67,-3.535353535353536e-05,3.353353353353353e-05,6.3009
2005-01-26,2.28,1.7,-0.0001097560975609,9.891196834817014e-05,6.3283
2005-01-27,2.4,1.7,-3.431372549019608e-05,3.238049095607236e-05,6.3088
2005-01-28,2.47,1.56,-3.2660902977905856e-05,3.0125195618153373e-05,6.3285
2005-01-29,2.49,1.61,-3.311047437121935e-05,2.9800809212573925e-05,6.3285
2005-01-30,2.45,1.61,-3.381642512077295e-05,3.0125195618153373e-05,6.3285
2005-01-31,2.46,1.61,-3.291586384071933e-05,2.9572409488139825e-05,6.3367
2005-02-01,2.51,1.67,-3.19721430832542e-05,2.989642184557438e-05,6.3542
2005-02-02,2.46,1.57,-9.754335260115606e-05,8.895131086142323e-05,6.3256
2005-02-03,2.46,1.58,-3.323699421965318e-05,3.035268414481898e-05,6.3374
